date,state,district,pincode,demo_age_5_17,demo_age_17_,total_population,youth_ratio,pop_change,shock_score,ml_flag,ml_score,severity,reason,confidence,is_severe,persistence,impact_score,recommended_action,state_avg_youth_ratio,peer_deviation,early_warning,data_trust_score
2025-01-07,Uttar Pradesh,Saharanpur,247001,853,10548,11401,0.07481799842119112,3661.0,26.224541758976734,-1,-0.11733142978235933,SEVERE,Ageing population; Sudden demographic shock; Large population swing,-0.328,True,0.24324324324324326,1.834,Immediate audit & field verification,0.1148424654950211,-0.04,False,0.38
2025-01-03,Maharashtra,Thane,421302,392,4257,4649,0.08431920843192084,0.0,0.06147628960840723,-1,-0.005122584580452227,SEVERE,Ageing population,-0.014,True,0.37777777777777777,1.834,Immediate audit & field verification,0.06659235764788345,0.018,False,0.31
2025-01-06,Maharashtra,Thane,421302,466,4127,4593,0.10145874156324843,0.0,0.06147628960840723,-1,-0.005062894036854226,SEVERE,Multi-factor deviation,-0.014,True,0.37777777777777777,1.832,Immediate audit & field verification,0.06659235764788345,0.035,False,0.31
2025-01-07,West Bengal,Uttar Dinajpur,733202,459,6242,6701,0.06849723921802715,0.0,0.06147628960840723,-1,-0.015176952975313851,SEVERE,Ageing population,-0.042,True,0.20454545454545456,1.827,Immediate audit & field verification,0.05883944813726732,0.01,False,0.4
2025-01-06,Chhattisgarh,Rajnandgaon,491888,578,8515,9093,0.0635653799626086,0.0,0.06147628960840723,-1,-0.013324730532191853,SEVERE,Ageing population,-0.037,True,0.045454545454545456,1.826,Immediate audit & field verification,0.10908089573903966,-0.046,False,0.48
2025-01-06,Chhattisgarh,Mahasamund,493449,600,15090,15690,0.03824091778202677,13948.0,99.73982569325479,-1,-0.1194883046796168,SEVERE,Ageing population; Sudden demographic shock; Large population swing,-0.334,True,0.06521739130434782,1.825,Immediate audit & field verification,0.10908089573903966,-0.071,False,0.47
2025-01-04,Delhi,North Delhi,110084,756,5451,6207,0.12179797003383278,0.0,0.06147628960840723,-1,-0.010170055839565761,SEVERE,Multi-factor deviation,-0.028,True,0.20930232558139536,1.819,Immediate audit & field verification,0.10480626661134639,0.017,False,0.4
2025-01-07,Uttar Pradesh,Shahjahanpur,242001,1196,11243,12439,0.09614920813570223,2087.0,14.976067285121026,-1,-0.11582934041141146,SEVERE,Ageing population; Sudden demographic shock,-0.324,True,0.15384615384615385,1.818,Immediate audit & field verification,0.1148424654950211,-0.019,False,0.42
2025-01-07,Bihar,Kishanganj,855101,391,5533,5924,0.06600270087778529,741.0,5.3569779320017235,-1,-0.11135545794576418,SEVERE,Ageing population; Sudden demographic shock,-0.312,True,0.5106382978723404,1.817,Immediate audit & field verification,0.08259998383421771,-0.017,False,0.24
2025-01-03,Uttar Pradesh,Meerut,250002,507,6574,7081,0.07160005648919644,0.0,0.06147628960840723,-1,-0.013494733594758057,SEVERE,Ageing population,-0.038,True,0.14634146341463414,1.816,Immediate audit & field verification,0.1148424654950211,-0.043,False,0.43
